1; Flushing Syringe; 15;
2; Ear Forceps, bayonet-shaped; 9;
3; Suction Tube, straight, type A; 13;
4; Forceps, 1 x 2 teeth; 1;
5; Nasal Speculum, for adults; 14;
6; Nasal Speculum, blade length 55 mm; 3;
7; Nasal Speculum, blade length 75 mm; 8;
8; Nasal Speculum, right blade shortened; 6;
9; Nasal Speculum, left blade shortened; 8;
10; Nasal Dressing Forceps, bayonet-shaped; 4;
11; Nasal Scissors, medium, standard model; 2;
12; Nasal Scissors, straight; 8;
13; Nasal Forceps, straight, size 1; 8;
14; Nasal Forceps, straight, size 3; 8;
15; Nasal Forceps, angled; 14;
16; Antrum Punch; 9;
17; Elevator, double-ended, length 22.5 cm; 6;
18; Elevator, double-ended, length 20 cm; 15;
19; Scissors, extra delicate; 5;
20; Needle Holder; 2;
21; Bone Crusher, with clip; 1;
22; Suction Tube, straight; 8;
23; Tissue Forceps; 2;
24; Antrum Cannula, long curved, outer diameter 2.5 mm; 11;
25; Antrum Cannula, long curved, outer diameter 3 mm; 6;
26; Antrum Cannula, short curved; 10;
27; Sickle Knife, sharp; 4;
28; Frontal Sinus Curette, curved; 6;
29; Punch, circular cut, 120°; 8;
30; Punch, circular cutting, upturned; 6;
31; Double Spoon Giraffe Forceps, vertical opening; 1;
32; Double Spoon Giraffe Forceps, horizontal opening; 2;
33; Antrum Grasping Forceps; 15;
34; Bone Punch, size 3 mm; 7;
35; Bone Punch, size 4 mm; 1;
36; Forceps, straight, extra sharp; 2;
37; Forceps, 45° upturned, extra sharp; 1;
38; Forceps, 45° upturned; 1;
39; Dressing and Sponge Holding Forceps; 10;
40; Scissors, curved; 1;
41; Scissors, curved, sharp/blunt; 9;
42; Scissors, curved, delicate tips; 1;
43; Towel Forceps; 14;
44; Cup Medicine, 25 ccm; 13;
45; Cup Medicine, 50 ccm; 9;
46; Cup Medicine, 100 ccm; 14;
47; Coagulation Suction Tube; 3;
48; Bipolar Needle; 3;
49; Bipolar Coagulation Forceps; 9;
50; Unipolar High Frequency Cord; 2;
51; Nasal Forceps, straight; 11;
52; Nasal Cutting Forceps, 45° upturned; 10;
53; Bipolar High Frequency Cord; 9;
54; Navigation Probe; 15;
55; Disposable Scalpel; 3;
